SPEED,IMEP,ANGLE,VVT,TORQUE,BSFC,COV
2400,1774.01,1.967602539,46.43496094,209.5,331.66,1.67
,,,,,,
,,,,,,
2800,202.14,30.31127739,0.063624804,14.7,562.23,1.34
2800,199.1,31.50442586,13.32504401,14.2,572.44,1.35
2800,199.39,35.36308594,24.65343018,13.7,581.59,1.42
2800,201.16,44.36025391,36.11356201,12.5,622.08,4.69
2800,200.23,43.4897545,47.60339642,12.8,683.65,31.06
2800,296.88,27.79276702,0.191400137,26.2,410.33,1.72
2800,300.1,26.96716309,12.23537598,26.5,407.05,1.41
2800,299.56,28.95881348,23.78903809,26.1,408.06,1.9
2800,301.36,33.68622848,35.98855634,26,399.63,1.53
2800,304.43,45.45856934,47.61405029,25.4,404.11,4.49
2800,401.86,24.12937012,0.067797852,39.8,337.21,1.05
2800,398.54,25.82472613,13.18463908,39.5,337.32,1.05
2800,398.19,26.23532864,24.3828614,39.1,334.67,1.11
2800,400.64,30.2144464,35.86205252,39.2,328.17,1.15
2800,399.14,36.57741588,47.36193026,38.9,325.17,1.33
2800,503.73,23.04973145,0.091174316,52.1,312.03,1.1
2800,500.63,22.59338379,11.98421631,51.6,311.16,1.03
2800,500.17,23.23876953,23.7199707,51.2,307.64,1.09
2800,502.61,25.47307129,35.2892334,51.6,303.36,1.24
2800,501.45,29.35668525,47.10668525,51.9,299.44,1.7
2800,600.7,21.99414063,0.059301758,64.8,289.12,1.75
2800,600.51,22.11079102,12.90941162,64.7,286.92,2.09
2800,601.76,22.36996283,23.86012079,64.4,284.37,1.55
2800,599.33,23.88789063,35.42696533,64.2,281.11,0.79
2800,601.77,26.39373044,46.89738605,64.7,278.17,0.68
2800,703.54,21.22970462,0.055421068,76.8,277.72,0.92
2800,698.8,20.97924805,11.82368164,76.2,277.01,0.97
2800,700.58,20.78808594,23.41931152,76.1,275.94,0.98
2800,702.05,20.37785645,34.85266113,76.2,274.4,1.1
2800,701.88,20.05432129,47.75053711,76.6,272.44,1.35
2800,797.7,20.17236405,0.04962588,88.9,266.1,0.8
2800,802.79,18.31438282,12.19942048,89.4,265.51,0.83
2800,800.03,17.2979248,24.03682861,88.8,265.11,0.93
2800,800.87,17.16044922,35.52585449,88.9,264.56,1.14
2800,801.03,17.35869141,47.09832764,89,262.92,1.12
2800,901.91,17.2472858,0.067366002,101.2,262.15,0.92
2800,898.65,17.06943359,11.71071777,100.9,261.53,1.09
2800,898.7,16.56489632,23.41131162,100.5,261.11,1.23
2800,898.62,13.48613281,34.79696045,100.8,266.55,1.42
2800,901.68,13.61984057,47.93016432,101.3,266.97,1.85
2800,1002.14,14.80395508,0.04017334,113.7,260.37,1.23
2800,999.32,13.54504395,12.365979,113.5,259.92,1.37
2800,1000.32,13.56098633,24.10671387,113.4,258.15,1.24
2800,999.18,12.27650626,35.59837148,113,260.8,1.3
2800,1003.45,11.51058783,47.02834018,113.1,263.73,1.51
2800,1102.34,13.11030419,0.108262422,125.8,258.69,1.33
2800,1103.43,13.00129395,11.67478027,126,257.93,1.37
2800,1098.32,11.13299589,23.84206279,125.3,259.49,1.6
2800,1102.28,10.64258118,35.32120501,125.8,262.17,1.73
2800,1101.54,10.88458529,48.0242811,125.7,262.31,1.82
2800,1202.73,11.78963713,0.013595462,137.1,258.23,1.48
2800,1200.14,11.34584961,12.86707764,136.7,257.91,1.51
2800,1203.92,11.43950509,24.20390747,137.1,255.46,1.49
2800,1200.51,11.43449707,35.75567627,137.1,254.66,1.32
2800,1200.25,10.78818359,47.30123291,138.5,269.64,1.04
2800,1297.75,9.562964593,0.103041862,149.7,260.86,1.71
2800,1300.98,9.374511719,11.69001465,149.9,259.47,2.05
2800,1304.29,9.356587441,23.97505869,150.5,257,1.78
2800,1296.69,8.386206055,35.55845947,149.1,264.78,2
2800,1302.61,10.17903951,48.03922144,151.6,264.39,2.07
2800,1400.54,7.634976526,7.34E-05,162.4,272.47,1.21
2800,1399.79,7.993798828,12.04266357,163,267.11,1.4
2800,1402.45,8.215332031,24.1866333,162.7,263.32,1.15
2800,1398.83,8.303466797,35.74771729,161.8,262.93,1.11
2800,1402.06,9.091625977,47.16638184,162.8,269.06,1.45
2800,1502.05,6.468603286,0.088174883,175.4,269.12,1.68
2800,1498.79,6.635693359,11.67055664,175.3,267.84,1.62
2800,1496.92,6.115243545,23.65456279,175.3,268.37,1.56
2800,1499.65,5.0171875,35.19088135,175.2,274.84,1.36
2800,1499.24,7.672802734,48.09057617,174.7,274.19,1.24
2800,1698.2,3.863574219,0.076904297,199.5,293.34,1.63
2800,1700.91,3.120745305,11.6373973,200.1,295.27,1.83
2800,1700.41,3.193759781,23.53687402,200.5,289.02,1.55
2800,1695.79,1.578711854,34.95526457,199.4,309.26,1.38
